project_id,physical_progress,financial_progress,financial_physical_gap,delay_days,extension_count
MPLADS-000001,78.0,80.7,2.7,0,0
MPLADS-000002,54.3,56.7,2.4,0,0
MPLADS-000003,65.1,60.2,-4.9,0,0
MPLADS-000004,92.5,91.7,-0.8,0,0
MPLADS-000005,44.9,45.4,0.5,0,0
MPLADS-000006,91.4,100.9,9.5,0,0
MPLADS-000007,68.3,90.4,22.1,0,0
MPLADS-000008,44.0,137.0,93.0,0,0
MPLADS-000009,54.8,58.7,3.9,0,0
MPLADS-000010,71.1,64.2,-6.9,0,0
MPLADS-000011,74.1,73.2,-0.8,0,0
MPLADS-000012,55.5,98.1,42.6,0,0
MPLADS-000013,36.0,94.0,58.0,0,0
MPLADS-000014,93.2,91.0,-2.2,0,0
MPLADS-000015,58.6,58.6,0.0,0,0
MPLADS-000016,81.7,91.8,10.1,0,0
MPLADS-000017,45.0,51.4,6.4,0,0
MPLADS-000018,75.0,73.5,-1.5,0,0
MPLADS-000019,56.0,58.6,2.5,0,0
MPLADS-000020,58.9,61.3,2.5,0,0
MPLADS-000021,50.7,47.6,-3.0,0,0
MPLADS-000022,36.0,94.0,58.0,0,0
MPLADS-000023,79.5,82.7,3.2,0,0
MPLADS-000024,83.3,81.2,-2.1,0,0
MPLADS-000025,71.1,61.1,-10.0,0,0
MPLADS-000026,46.0,47.4,1.4,0,0
MPLADS-000027,66.4,67.8,1.4,0,0
MPLADS-000028,93.4,90.6,-2.8,0,0
MPLADS-000029,40.7,34.9,-5.9,0,0
MPLADS-000030,75.4,73.8,-1.6,0,0
MPLADS-000031,67.8,68.1,0.3,0,0
MPLADS-000032,92.9,90.2,-2.7,0,0
MPLADS-000033,63.0,69.2,6.2,400,1
MPLADS-000034,53.8,54.6,0.8,0,0
MPLADS-000035,61.4,59.0,-2.4,0,0
MPLADS-000036,98.2,98.8,0.6,0,0
MPLADS-000037,50.6,44.1,-6.5,0,0
MPLADS-000038,51.2,61.8,10.6,0,0
MPLADS-000039,43.1,133.5,90.4,0,0
MPLADS-000040,58.0,56.0,-2.0,0,0
MPLADS-000041,61.2,83.4,22.1,0,0
MPLADS-000042,72.3,70.2,-2.1,0,0
MPLADS-000043,79.8,76.4,-3.4,0,0
MPLADS-000044,92.7,89.3,-3.3,0,0
MPLADS-000045,69.2,73.5,4.2,0,0
MPLADS-000046,95.0,128.0,33.1,0,0
MPLADS-000047,36.0,94.0,58.0,0,0
MPLADS-000048,36.0,94.0,58.0,0,0
MPLADS-000049,71.6,67.7,-4.0,0,0
MPLADS-000050,72.2,92.5,20.3,0,0
MPLADS-000051,87.3,74.7,-12.7,0,0
MPLADS-000052,36.0,94.0,58.0,0,0
MPLADS-000053,66.8,71.8,5.1,0,0
MPLADS-000054,70.4,71.9,1.4,0,0
MPLADS-000055,48.9,47.5,-1.4,0,0
MPLADS-000056,56.8,51.1,-5.7,0,0
MPLADS-000057,96.7,102.0,5.3,0,0
MPLADS-000058,61.2,68.8,7.5,0,0
MPLADS-000059,99.6,99.0,-0.6,0,0
MPLADS-000060,95.6,65.5,-30.0,0,0
MPLADS-000061,57.5,72.9,15.4,0,0
MPLADS-000062,61.4,57.9,-3.5,0,0
MPLADS-000063,72.6,77.4,4.8,0,0
